url,parent,child,depth
https://www.nseindia.com/nse-academy/nse-academy-overview,nse-academy,nse-academy-overview,2
https://www.nseindia.com/trade/platform-services-test-market-facility,trade,platform-services-test-market-facility,2
https://www.nseindia.com/products-services/emerge-platform-about-sme,products-services,emerge-platform-about-sme,2
https://www.nseindia.com/market-data/corporate-data-subscription,market-data,corporate-data-subscription,2
https://www.nseindia.com/market-data/commodity-derivatives,market-data,commodity-derivatives,2
https://www.nseindia.com/nse-terms-of-use,,nse-terms-of-use,1
https://www.nseindia.com/regulations/list-complaint-status-against-companies-report,regulations,list-complaint-status-against-companies-report,2
https://www.nseindia.com/regulations/unsolicited-messages-report,regulations,unsolicited-messages-report,2
https://www.nseindia.com/resources/exchange-communication-circulars,resources,exchange-communication-circulars,2
https://www.nseindia.com/market-data/equity-derivatives-watch,market-data,equity-derivatives-watch,2
https://www.nseindia.com/ChartApp/install/charts/mainpage.jsp,charts,mainpage.jsp,4
https://www.nseindia.com/resources/exchange-communication-press-releases,resources,exchange-communication-press-releases,2
https://www.nseindia.com/learn/nse-knowledge-hub,learn,nse-knowledge-hub,2
https://www.nseindia.com/nseint_clearing/nse-international-clearing-overview,nseint_clearing,nse-international-clearing-overview,2
https://www.nseindia.com/products-services/about-currency-derivatives,products-services,about-currency-derivatives,2
https://www.nseindia.com/market-data/live-market-indices,market-data,live-market-indices,2
https://www.nseindia.com/invest/process-of-making-a-complaint,invest,process-of-making-a-complaint,2
https://www.nseindia.com/regulations/exchange-disclosures-nsccl-iosco-core-sgf-default-waterfall,regulations,exchange-disclosures-nsccl-iosco-core-sgf-default-waterfall,2
https://www.nseindia.com/companies-listing/corporate-filings-event-calendar?days=today,companies-listing,corporate-filings-event-calendar,2
https://www.nseindia.com/national-stock-exchange/our-group,national-stock-exchange,our-group,2
https://www.nseindia.com/invest/first-time-investor-give-feedback,invest,first-time-investor-give-feedback,2
https://www.nseindia.com/resources/publications-indian-securities-ismr,resources,publications-indian-securities-ismr,2
https://www.nseindia.com/learn/self-study-ncfm-modules-all,learn,self-study-ncfm-modules-all,2
https://www.nseindia.com/nsetech,,nsetech,1
https://www.nseindia.com/resources/insights-panel-discussions-seminars-corporate-governance,resources,insights-panel-discussions-seminars-corporate-governance,2
https://www.nseindia.com/market-data/all-upcoming-issues-ipo,market-data,all-upcoming-issues-ipo,2
https://www.nseindia.com/market-data/live-equity-market,market-data,live-equity-market,2
https://www.nseindia.com/companies-listing/corporate-filings-actions,companies-listing,corporate-filings-actions,2
https://www.nseindia.com/market-timings-holidays/contingency-drill-calendar,market-timings-holidays,contingency-drill-calendar,2
https://www.nseindia.com/learn/courses-for-under-graduates,learn,courses-for-under-graduates,2
https://www.nseindia.com/companies-listing/listing-processing-fees-for-equity-segment,companies-listing,listing-processing-fees-for-equity-segment,2
https://www.nseindia.com/companies-listing/corporate-filings-board-meetings,companies-listing,corporate-filings-board-meetings,2
https://www.nseindia.com/resources/insights-working-paper-series,resources,insights-working-paper-series,2
https://www.nseindia.com/market-data/liquidity-enhancement-scheme,market-data,liquidity-enhancement-scheme,2
https://www.nseindia.com/trade/platform-services-non-neat-front-end,trade,platform-services-non-neat-front-end,2
https://www.nseindia.com/trade/members-change-in-name,trade,members-change-in-name,2
https://www.nseindia.com/regulations/list-of-companies-proposed-to-be-delisted,regulations,list-of-companies-proposed-to-be-delisted,2
https://www.nseindia.com/learn/interactive-courses,learn,interactive-courses,2
https://www.nseindia.com/invest/download-complaint-form-for-offline-registration,invest,download-complaint-form-for-offline-registration,2
